,WRP
649,0.014107403517738981
650,-0.009319031038743597
651,-0.058786860723881895
652,-0.177777637132582
653,0.07277809372209881
654,-0.0020803855762992485
655,0.032419330371426136
656,0.05791065992395894
657,0.0330640328171079
658,0.005079742344253957
659,0.12228868173108587
660,-0.04568976155689619
661,0.026249771939427125
662,0.03144931516278626
663,0.05740928238358206
664,0.014856427408885153
665,0.010275171052740395
666,0.04252796964217537
667,-0.048784811947110096
668,0.08071762069485411
669,0.016901613114394143
670,0.007531918051480624
671,-0.004173124516694604
672,-0.0013838071113612682
673,0.007979479208127582
674,0.025706776305579992
675,0.12911019078063796
676,-0.00303826932020157
677,-0.03544204958424746
678,0.020093167701863368
679,-0.09935283957880325
680,
681,0.08378736812487214
682,0.12935450819672129
683,-0.095577750264627
684,0.020169640431850933
685,0.040717988071833966
686,0.24126984126984127
687,0.06522320235231222
688,-0.03697668781949581
689,0.10050203388393197
690,-0.051601169082787446
691,0.028817866942557724
692,0.11200988658220201
693,
694,
695,-0.07937960182810644
696,
697,0.04124637958218774
698,0.08414050389063749
699,0.019446620904557177
700,0.054972364297905196
701,-0.019038172947293486
702,0.062136082562042616
703,-0.009022405403253886
704,-0.05047800304744332
705,-0.061176592132940244
706,0.17980735097830508
707,-0.04086046632478546
708,0.027340775953196506
709,0.03814122155810429
710,0.05234965505095318
711,0.008767715209017868
712,-0.007933171314439602
713,-0.03218114348543161
714,0.050673859912782504
715,-0.03833716425793693
716,
717,0.12048721164803766
718,0.021497932529034314
719,
720,0.05727631273695588
721,0.04290491523598361
722,0.03975929796171057
723,0.03712383689455495
724,-0.021743029241677703
725,
726,
727,-0.015570175438596456
728,-0.05190343778563228
729,0.04137864425821847
730,
731,
732,0.05507627140098148
733,0.04494064443188239
734,0.0
735,0.0024024790454629796
736,0.017037118046753397
737,0.08057425881610841
738,-0.028018540790210877
739,0.026368797465890326
740,-0.0313674631914041
741,-0.059424596580628486
742,0.011300604261869851
743,
744,-0.22698412698412698
745,0.0744405822706099
746,0.08712471429148971
747,-0.014300306435137855
748,-0.0498642367906067
749,0.008560409233867472
750,
751,-0.013922695518806316
752,
753,
754,-0.07785586292573915
755,0.08282164558037347
756,
757,
758,0.05533182332479486
759,
760,
761,0.003942325005620917
762,0.02668630256588783
763,0.003271787132786974
764,0.06814641599679011
765,-0.003892310841988711
766,0.038395118825569285
767,0.07852064704332906
768,0.09926835257294037
769,-0.032419330371426136
770,-0.022584929784811247
771,0.004340714687359859
772,0.05255788734377309
773,-0.02417545916872621
774,-0.04152637751643906
775,0.11568086457102661
776,-0.16588195712767534
777,0.10597053690329661
778,0.0469441035105147
779,-0.00013980747039643582
780,0.022436577805656832
781,0.06129004664063381
782,-0.09246354351944924
783,-0.029472961438893608
784,0.08972489183987131
785,0.01595045027628056
786,0.03609533882784233
787,-0.02759721194224979
788,-0.04103855996593703
789,-0.025681594863780077
790,-0.06103325007774879
791,0.135773820040344
792,-0.03812775628374093
793,-0.0524031368312477
794,0.08183423067729989
795,0.05090268011603849
796,-0.0036921809410755957
797,0.17039269518264444
798,-0.002875207636994226
799,-0.11238460762771557
800,0.004643154540979466
801,-0.008621084421018332
802,0.03997695538033785
803,0.0060222582240555544
804,-0.023808867320349314
805,-0.18437814595712432
806,0.040104467951943334
807,0.043303294309037454
808,0.08402609631423191
809,0.020747793054344377
810,0.009315410268107338
811,-0.03358481360819199
812,0.1156111001816037
813,0.015721176971176976
814,0.08333732372446018
815,0.05251572327044024
816,0.03466955767209795
817,0.03214664390958244
818,0.05781094306729839
819,0.040438376113730745
820,0.01652273300665663
821,-0.008995461533768623
822,0.044509492991401944
823,0.1043448209256404
824,-0.027349518351429347
825,-0.0036830651863009045
826,0.05490985890034972
827,-0.01814810380063986
828,-0.02315589950491498
829,0.06663471218699385
830,0.06116698903875384
831,0.0686730656581343
832,0.005126463636889844
833,0.0609775404578054
834,
835,
836,0.046564040345511204
837,0.0017829933051252134
838,0.01275583005464681
839,0.0053475324036103555
840,-0.03920105885266906
841,-0.022310272216491234
842,0.020957247997993145
843,-0.039167907498119325
844,0.03024812728514814
845,-0.0677522035232852
846,0.0815270428767445
847,0.00536221896804201
848,-0.09977375565610863
849,0.06942020760058187
850,
851,
852,-0.010234324349356339
853,0.0744405822706099
854,
855,-0.04897549376244642
856,
857,0.057599169361696345
858,0.00913675267081726
859,-0.027185201490720068
860,-0.10640272193009587
861,0.002794433871758595
862,0.011089681774349103
863,0.023011470884879537
864,0.10719306280871743
865,-0.015589784921464844
866,-0.006408775619825335
867,-0.020001954541183586
868,0.26749720044792835
869,0.03250374384462351
870,-0.028368015073788944
871,0.025825769509966512
872,-0.02405502519737268
873,0.012828703083793691
874,-0.025644037271944198
875,0.018939058949187015
876,-0.01678178491186616
877,0.07444946943204972
878,
879,
880,-0.09452968863580685
881,0.026033802393166383
882,-0.05905940647472302
883,
884,-0.12962264150943395
885,0.05692523056653492
886,-0.005131955126442489
887,-0.1190112928694807
888,
889,0.04055821568144519
890,-0.03281860998827135
891,0.023249906917145624
892,-0.06202874268380548
893,-0.05831018351683487
894,0.04691534839863093
895,0.07027228399498048
896,0.030519590839293953
897,0.0340946962477055
898,0.05104133023001767
899,0.027478276719596073
900,-0.10637093752350246
901,-0.011710310258404633
902,0.06172580221335333
903,-0.04053522671370641
904,0.09759099874502347
905,0.0007678676506980286
906,
907,-0.0169908618873178
908,0.012487103863984661
909,-0.011278195488721776
910,-0.011006289308176098
911,
912,-0.18235294117647055
913,
914,
915,0.010563380281690155
916,0.02007917055711178
917,0.015421008695954141
918,0.03426005945826838
919,0.09711147269197334
920,0.012264883119519121
921,-0.00455221918315285
922,-0.10974773121806702
923,0.028297444737606647
924,0.08126749498400909
925,0.06047619936998039
926,0.028625639129667646
927,-0.007131326018416817
928,0.11091183163535018
929,-0.07377637331576098
930,
931,-0.08563134978229314
932,0.04563122954166632
933,-0.001536098310291889
934,0.01773487428524001
935,0.012487257900101911
936,-0.027185201490720068
937,0.05063575042989882
938,
939,-0.19342105263157897
940,-0.050962249842080476
941,0.048574440291920706
942,
943,0.07476836888601596
944,0.025340384886793466
945,-0.02865365358773908
946,0.006452967676928267
947,-0.0484862526999813
948,0.037506044498582636
949,-0.024789186761024817
950,-0.17773892773892774
951,0.15151283838949414
952,0.1040466881533702
953,0.024570663129436454
954,-0.05728943784986612
955,0.021801608365874525
956,-0.03143221243088651
957,0.16014411644398507
958,
959,
960,-0.053522249256110044
961,0.023155899504914756
962,-0.07017543859649122
963,0.03469309950438426
964,0.037759703325401406
965,0.06861155579386119
966,0.015194730803123724
967,
968,
969,0.07836731518490514
970,0.028805970149253735
971,0.02056317140586167
972,0.054850359624596445
973,-0.0032717871327869186
974,0.06345652206109786
975,0.016902688171758884
976,0.08590978363452856
977,0.11105515263041288
978,0.06997876326208269
979,0.0010191043813831957
980,0.05562070068671393
981,0.00383483158700898
982,0.10660917676857723
983,-0.007324471827710177
984,-0.038621146176008536
985,0.03189863813720101
986,0.08889826769954307
987,0.08213232783965474
988,0.0030288983772727707
989,-0.05575175906699892
990,-0.037009040048404274
991,-0.0794265771927839
992,0.044719491095263464
993,-0.004665893127134613
994,0.06661470968723576
995,-0.04890105417453955
996,0.0016572634061796654
997,-0.02510875973728821
998,0.05071460229193325
999,0.05291998397514169
1000,0.058310183516834924
1001,0.1269270858805545
1002,0.00918189554320209
1003,-0.008398578014779223
1004,-0.00017721461000325123
1005,-0.029163984408113297
1006,0.0334008293750101
1007,-0.004949006506813736
1008,-0.026014407533685613
1009,-0.0679778573612504
1010,0.11902679721453946
1011,0.11643590062773795
1012,-0.04711173515487238
1013,0.08099936065514984
1014,-0.0005000425256169172
1015,0.02787252956276265
1016,-0.0800651579683993
1017,-0.013282460837197863
1018,0.0335758303800911
1019,0.055179605766860484
1020,0.049041858524108306
1021,0.0923718283102185
1022,0.032063941022759224
1023,0.013550079759175881
1024,-0.03337804258897714
1025,-0.008300678145522267
1026,-0.02056317140586167
1027,0.054850359624596445
1028,0.09344308750210922
1029,0.017092399250322132
1030,0.044662888478426366
1031,0.00419183233883208
1032,0.09255811301626493
1033,0.098086932613554
1034,-0.02350207206635413
1035,0.00383483158700898
1036,-0.0411384738394826
1037,0.011906857116701142
1038,0.015555072968033934
1039,0.09838338718500439
1040,0.08395536730479547
1041,0.07191486464659486
1042,-0.031112511220285244
1043,0.03214664390958244
1044,0.012159141909645732
1045,0.01836502708886073
1046,0.09727982515158329
1047,0.04424329573374042
1048,0.08531007575517818
1049,0.032063941022759224
1050,0.09455047675391293
1051,0.00577612196326055
1052,-0.026948707222129276
1053,0.0496301797126249
1054,-0.061290046640633866
1055,0.12305140546042376
1056,-0.024050179732403754
1057,0.020070402475861004
1058,-0.03605822633612116
1059,0.1156111001816037
1060,
1061,0.05689361973448065
1062,-0.03380044849210395
1063,
1064,0.03801726849580228
1065,0.05424458626119383
1066,0.11572160410444449
1067,-0.017357238571573397
1068,0.10278882498769204
1069,-0.053960988124235054
1070,
1071,-0.0231348423657744
1072,0.06412461323793855
1073,0.045055076372956415
1074,0.042373927224740426
1075,0.018408878222351155
1076,0.11489582428236295
1077,0.07482397117262529
1078,-0.002902919474094545
1079,-0.06109381191501412
1080,0.007608778345142175
1081,0.07570133655679112
1082,-0.04230180857423127
1083,-0.024469661267854326
1084,-0.14674125902393204
1085,-0.0011062853664455807
1086,0.032063941022759224
1087,-0.007980897902261697
1088,0.07090424780959614
1089,-0.05602167237453698
1090,0.0204656845110876
1091,-0.02264589314615567
1092,0.012800354236472467
1093,-0.005397930154833752
1094,0.04703415132014377
1095,0.06577860542170366
1096,
1097,
1098,
1099,0.008779356025297336
1100,-0.03976211380779354
1101,0.05575084193058816
1102,-0.026249771939427125
1103,-0.16292134831460675
1104,0.010592524648267598
1105,-0.095577750264627
1106,0.06057491357449607
1107,0.18603610877604487
1108,
1109,0.23690131790421087
1110,0.0313674631914041
1111,-0.02349093071662206
1112,0.036928853375024995
1113,0.009022405403253886
1114,0.05648936574427604
1115,0.10479065635147067
1116,0.10570059889562905
1117,-0.019171703197557455
1118,-0.03700838246986227
1119,
1120,
1121,-0.04757709217938755
1122,0.05197525794335589
1123,0.12232239952360385
1124,
1125,0.014020507627689638
1126,-0.03383754590746735
1127,-0.017200741483228088
1128,0.022187896549640485
1129,0.029740607602844416
1130,0.02625033916185071
1131,0.08719851576994431
1132,
1133,0.001143156891328101
1134,-0.08229955196159472
1135,-0.06307610059597601
1136,-0.047538780869269215
1137,0.06522033891122259
1138,0.07106193759412521
1139,0.005425367259327851
1140,-0.04240650367478116
1141,0.10815746753246752
1142,0.052184221384717844
1143,-0.025184998241102097
1144,-0.13845866310766863
1145,0.1184190764954712
1146,-0.06683375104427736
1147,0.12461814292799156
1148,0.013603536519418091
