,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
1984,2017-560,Us Open,R128,105882,Stefano Travaglia,104926,Fabio Fognini,144.0,396.0,26.0,1580.0,9.0,5.0,3.0,9.0,107.0,45.0,58.0,131.0,44.0,71.0,27.0,28.0,59,131,35,107,0.03319833087874324,0.03319833087874324
1985,2017-560,Us Open,R128,104678,Viktor Troicki,105613,Norbert Gombos,52.0,920.0,84.0,639.0,11.0,9.0,4.0,10.0,135.0,62.0,79.0,154.0,65.0,87.0,29.0,30.0,59,154,44,135,0.03184164292164832,0.03184164292164832
1986,2017-560,Us Open,R128,105238,Alexandr Dolgopolov,105526,Jan Lennard Struff,64.0,751.0,49.0,953.0,10.0,18.0,6.0,11.0,126.0,52.0,65.0,129.0,51.0,64.0,30.0,27.0,51,129,44,126,0.0756455102346752,0.0756455102346752
1987,2017-560,Us Open,R128,104607,Tomas Berdych,105992,Ryan Harrison,18.0,2310.0,45.0,1041.0,9.0,9.0,5.0,5.0,102.0,45.0,62.0,90.0,32.0,44.0,22.0,17.0,41,90,35,102,0.03096804110672091,0.03096804110672091
1988,2017-560,Us Open,R128,105676,David Goffin,103898,Julien Benneteau,14.0,2525.0,100.0,545.0,12.0,4.0,7.0,5.0,109.0,47.0,64.0,106.0,38.0,59.0,24.0,22.0,46,106,38,109,0.03011159617785253,0.03011159617785253
1989,2017-560,Us Open,R128,105550,Guido Pella,104327,Steve Darcis,72.0,692.0,66.0,741.0,3.0,1.0,0.0,3.0,63.0,38.0,49.0,69.0,20.0,41.0,10.0,9.0,40,69,15,63,0.025807666098002613,0.025807666098002613
1990,2017-560,Us Open,R128,105385,Donald Young,109739,Maximilian Marterer,57.0,830.0,125.0,452.0,8.0,8.0,7.0,3.0,99.0,46.0,58.0,87.0,38.0,51.0,21.0,17.0,32,87,32,99,-0.08828205591772925,-0.08828205591772925
1991,2017-560,Us Open,R128,104792,Gael Monfils,104871,Jeremy Chardy,22.0,1915.0,79.0,655.0,18.0,3.0,5.0,8.0,97.0,39.0,48.0,108.0,41.0,60.0,28.0,24.0,43,108,30,97,-0.014833334583744195,-0.014833334583744195
1992,2017-560,Us Open,R128,106000,Damir Dzumhur,104655,Pablo Cuevas,56.0,855.0,31.0,1360.0,2.0,6.0,4.0,4.0,107.0,47.0,73.0,105.0,37.0,64.0,17.0,17.0,51,105,43,107,0.03685431634280267,0.03685431634280267
1993,2017-560,Us Open,R128,105649,Cedrik Marcel Stebe,106044,Nicolas Kicker,107.0,528.0,93.0,590.0,8.0,4.0,6.0,11.0,111.0,47.0,63.0,144.0,50.0,87.0,30.0,28.0,66,144,34,111,0.0628003942736266,0.0628003942736266
